WaterFracHeadgroup1  [     0.483,     0.4841,      0.485] (-  0.001078, + 0.0009504)
bilayer.methyl2_2_INT  [     1.387,       1.39,      1.394] (-  0.002955, +  0.003229)
bilayer.methylene1_1_AVG  [    0.7762,      0.779,      0.782] (-  0.002869, +  0.002954)
bilayer.methylene1_1_COM  [     35.17,      35.19,       35.2] (-   0.01128, +   0.01305)
bilayer.methylene1_1_INT  [     1.232,      1.238,      1.244] (-  0.005807, +   0.00681)
bilayer.methylene1_2_AVG  [      6.05,      6.053,      6.056] (-  0.002954, +  0.002869)
bilayer.methylene1_2_COM  [     35.17,      35.19,       35.2] (-   0.01128, +   0.01305)
bilayer.methylene1_2_INT  [     9.594,      9.614,      9.637] (-   0.02043, +   0.02233)
bilayer.methylene2_1_AVG  [    0.7762,      0.779,      0.782] (-  0.002869, +  0.002954)
bilayer.methylene2_1_COM  [     48.77,      48.81,      48.86] (-    0.0422, +   0.04879)
bilayer.methylene2_1_INT  [     1.232,      1.238,      1.244] (-  0.005807, +   0.00681)
bilayer.methylene2_2_AVG  [      6.05,      6.053,      6.056] (-  0.002954, +  0.002869)
bilayer.methylene2_2_COM  [     48.77,      48.81,      48.86] (-    0.0422, +   0.04879)
bilayer.methylene2_2_INT  [     9.594,      9.614,      9.637] (-   0.02043, +   0.02233)
bilayer.normarea_AVG  [      62.8,      62.95,      63.09] (-    0.1563, +    0.1358)
bilayer.normarea_COM  [      49.5,       49.5,       49.5] (- 1.421e-14, + 1.421e-14)
bilayer.normarea_INT  [       100,        100,        100] (- 1.563e-13, + 1.563e-13)
fAreaPerLipid2  [      62.8,      62.95,      63.09] (-    0.1563, +    0.1358)
fTotalLipid1Length  [      12.4,      12.42,      12.45] (-   0.02674, +   0.03092)
fTotalLipid2Length  [      12.4,      12.42,      12.45] (-   0.02674, +   0.03092)
